@sadohimajin 引用できるんですよね？意味ない気も??デマ流されても否定出来なくなることもですよね？ある意味 要らない機能かも(´・ω・｀)	0
クソリプ防止機能って使い方次第ではデマを言っても否定出来ないやつだよな	0
@shimakazi @miyawakiatsushi 基地反対運動を合法的にやるのならば否定するつもりはない。逮捕起訴された活動家がいるようでは活動自体信用できない。そして、目の前で違法行為を見ていながら、それを問題視しない沖縄マスコミ。問題を指摘されると、デマだ差別だと騒ぐ。	0
https://t.co/ZuVlSkQOx8＞温厚で生真面目だが、地味そんな皮はとっくに剥けているのではないか？３月には一律給付に反対し実施を遅らせ、今はまた消費税減税を否定するという言動を繰り返している。岸田氏の評価は「財務省の緊縮デマに染められた、判断力が著しく低い政治家」が妥当だ。	0
費リプにあるとおり悪意もしくはデマのツイート否定したい場合どうするんだろ	0
高知のコロナ感染｢看護師自殺｣はデマ　院長が否定､ネットで悪質投稿拡散｢放置できない｣：高知新聞 https://t.co/rnzuPszXZ4	1
いつもの成り行きを見てると、デマ・誹謗中傷を放言した張本人に加えて、そのフォロワー全員を返信・通知対象から外せるようにしていただけると、安心して不事実の否定ができると思うのですが。。。	0
@SamejimaH 戦前の日本は共産主義を訴えたら厳しく取り締まられてたけど、その共産主義を突き進んだ中国が今の香港の自由を脅かしているんだよな。それにしても、今の日本は総理大臣を口汚く罵倒したり、人格否定やデマを発信できるんだから自由だよな(笑)#香港問題を安倍政権批判に利用するな	0
こんな言い方したく無いけど馬鹿なの？！頭沸いてるの？！って感じです。デマを拡散、否定しないのは真実だからとか、削除するのは真実だからとか。そんなの表立って反論するわけないでしょ、削除するよ、こうやって信じるお馬鹿がいるんだから、広まって非難されないように、当たり前でしょ。	0
@r13812 お仕事ご苦労さん日本では安易な言論弾圧は最悪の犯罪です。デマであるかどうか、他人の意見を否定できるのは日本国民の忖度を得た報道会社だけです。おまえが何の信託を得てるか知らないが他人のツイを批判する事自体が間違いだよ。	0
@xAegvg0JipIY0hD @joe_mikey_yap 粘着質。日付が数日違うのは確かだが、時期的に、というニュアンスで大半の人達には通じている。デマという表現、正論を盾にした揚げ足取り。以前から日本では東京五輪開催が多くの理由で不適切(メリットよりもデメリットが勝る)だった、というのを必死に否定したい思考が根底にある証拠	0
男女アイドルが交流？女性アイドル所属のサッカーサークル、予期せぬデマを再び否定「健全な集まり」 - 韓国芸能ニュースはKstyle  https://t.co/dSCwJQ4ngz @Kstyle_newsより	1
かの方々は、デマだ！って言うか、それとも、これを否定するデマ情報を垂れ流すかするでしょうね。 https://t.co/ss1pr0lgAh	0
